0;$\mathfrak{0}$
3,1,2,(-2,0);$x$
4,(-2,-2,0);$x$
3,(-2,0),(-2,-1,0);$e$
3,(-2,0),(-3,0);$e$
2,3,(-2,0),-1;$z$
3,(-2,0),(3,0);$e$
3,(-2,0),(2,1,0);$e$
2,1,(2,0),(-2,-1,0);$e$
3,(-2,-1,0),-2;$z \rho$
2,2,(-2,-1,-1,0);$z \rho$
3,(-2,-1,-1,0),-1;$z$
3,(-2,0),(2,1);$e$
2,1,3,(-2,0);$x$
5,(-2,0),-1;$z$
3,2,(-2,-1,0);$x$
3,(2,0),3;$z$
2,1,(2,3);$x$
2,1,(2,0),3;$z$
3,(2,3);$x$
2,1,(2,0),(2,0),-1;$e$
2,3,(2,0),-1;$z$
2,4,(-2,0);$x$
3,(3,0),2;$z \rho$
3,(-2,-1,0),(-2,0);$x$
3,(-2,-1,-1,-1,0);$x$
4,(-2,-1,0),-1;$z$
2,1,(2,1,2);$z \rho$
3,(2,0),(-2,-1);$e$
2,2,(2,0),2;$y$
2,1,1,(2,2);$x$
3,(2,1,0),2;$y$
3,(2,1,2);$x$
3,(-2,0),3;$z$
2,1,1,(2,0),2;$y$
2,2,(2,2);$x$
4,(-2,-1,-1,0);$x$
2,1,(2,1,0),2;$z \rho$
3,(2,2,0),-1;$z$
4,(3,0),1;$z$
3,(2,0),(2,1);$e$
3,(3,2);$z \rho$
3,(-2,-2,-1,0);$x$
3,(2,1),2;$y$
2,1,(2,0),1,2;$z$
3,(-2,-1,0),(2,0);$x$
2,1,(2,1),2;$y$
3,(2,0),1,2;$z$
2,1,1,(2,0),(-2,0);$e$
5,(2,0),1;$z$
3,(2,0),(2,0),-1;$e$
3,1,(2,1,1);$x$
3,(2,2,0),1;$z$
2,1,(2,0),(2,1);$e$
5,(2,0),-1;$z$
3,(2,0),(-2,0),-1;$e$
4,1,(2,1);$x$
2,3,(2,0),1;$z$
2,1,1,(2,1,1);$x$
3,(2,0),-2,-1,0;$x$
2,2,1,(2,1);$x$
5,(-2,-1,0);$x$
2,1,(2,0),-3;$z$
4,(2,1,0),1;$z$
3,1,(3,1);$x$
3,2,(2,0),1;$z$
3,1,1,(2,1);$x$
3,(2,1,1,0),1;$z$
2,2,(2,1,1);$x$
3,(3,0),-2;$z \rho$
3,(2,1,0),(-2,0);$e$
2,2,(2,1,0),1;$z$
3,(2,1,1,1);$x$
3,1,1,(2,0),1;$z$
3,2,(2,1);$x$
3,1,(3,0),1;$z$
4,(2,1,1);$x$
2,1,(2,0),(-3,0);$e$
2,1,(2,0),-2,-1,0;$x$
